,Sr.No,Received Date (DD MMM YYYY),Article title,Citation Details,Reference ID,DOI,Initial Reviewer Name,Initial Review Date,Abstract/Full Text Article (FTA),Article Classification,Initial Review Comment,Quality Reviewer Name,Quality Review Date,Quality Review Comment,Full Text Request Raised (Order ID),Translation Request Raised (Order ID),Article Priority,Country Of Incidence,Valid Drugs,Invalid Drugs,Suspected Events,No. of cases to be created,Allocation Sent,Case ID,Reference number for Aggregate report as applicable,Reference number for Signal report as applicable,Additional Comments (if any)
1558,,,The effect of single and repeated doses of rivastigmine on gastric myoelectric activity in experimental pigs,PLoS One. 2023 Jun 1;18(6):e0286386. doi: 10.1371/journal.pone.0286386. eCollection 2023.,37262057,10.1371/journal.pone.0286386,,,Abstract,Invalid,Animal study_decrease of EGG power(associated with dyspepsia) _Rivastigmine,,,No error,,,,Czech Republic,,Rivastigmine,decrease of EGG power(associated with dyspepsia),,,,,,
1559,,,The knock-on effects of COVID-19 pandemic on the supply and availability of generic medicines in Ethiopia: mixed methods study,BMC Health Serv Res. 2023 May 20;23(1):513. doi: 10.1186/s12913-023-09535-z.,37210502,10.1186/s12913-023-09535-z,,,Full Text,Rejected,No safety information,,,No error,,,,Ethiopia,,,,,,,,,
1560,,,P2Y(12) Inhibitor or Aspirin Monotherapy for Secondary Prevention of Coronary�Events,J Am Coll Cardiol. 2023 Jul 11;82(2):89-105. doi: 10.1016/j.jacc.2023.04.051.,37407118,10.1016/j.jacc.2023.04.051,,,Abstract,Invalid,"Meta Analysis_Clopidogrel, aspirin _ Myocardial infarction, Major bleeding",,,No error,,,,Italy,,"Clopidogrel, aspirin ","Myocardial infarction, Major bleeding ",,,,,,
1561,,,The Arrhythmogenicity of Sotalol and its Role in Heart Failure: A Literature Review,J Cardiovasc Pharmacol. 2023 May 26. doi: 10.1097/FJC.0000000000001439. Online ahead of print.,37229640,10.1097/FJC.0000000000001439,,,Abstract,Rejected,No safety information,,,No error ,,,,United states,,,,,,,,,
1562,,,Characterization of 554 Mexican Patients With Nonsyndromic Cleft Lip and Palate: Descriptive Study,J Craniofac Surg. 2023 Jun 5. doi: 10.1097/SCS.0000000000009455. Online ahead of print.,37276332,10.1097/SCS.0000000000009455,,,Full Text,Invalid,No MA in COI_Folic acid_DEDP,,,No error,,,,Mexico,,Folic acid,DEDP,,,,,,
1563,,,Prenatal and early-life antibiotic exposure and the risk of atopic dermatitis in children: A nationwide population-based cohort study,Pediatr Allergy Immunol. 2023 May;34(5):e13959. doi: 10.1111/pai.13959.,37232285,10.1111/pai.13959,,,Abstract,Invalid,"No MA in COI_Paracetamol_DEDP, Atopic dermatitis",,,No Error,,,,Taiwan,,paracetamol,"DEDP, Atopic dermatitis",,,,,,
1564,,,Effect of Storage Time and Temperature on the Bioactivity of a Chitosan-Derived Epigenetic Modulation Scaffold,Mar Drugs. 2023 Mar 12;21(3):175. doi: 10.3390/md21030175.,36976224,10.3390/md21030175,,,Abstract,Rejected,No safety informtion_Invitro study,,,No error,,,,Thailand,,,,,,,,,
1565,,,Calcineurin-inhibitor free immunosuppression after lung transplantation - a single center case-control study in 51 patients converted to Mechanistic Target of Rapamycin (mTOR) inhibitors,PLoS One. 2023 May 18;18(5):e0284653. doi: 10.1371/journal.pone.0284653. eCollection 2023.,37200246,10.1371/journal.pone.0284653,,,Full text,Rejected,No safety information,,,No error ,,,,Germany,,,,,,,,,
1566,,,Prophylactic administration of metformin reduces gestational diabetes mellitus incidence in the high-risk populations: a meta-analysis : Metformin for gestational diabetes prevention,Ir J Med Sci. 2023 May 30. doi: 10.1007/s11845-023-03380-z. Online ahead of print.,37248332,10.1007/s11845-023-03380-z,,,Abstract,Invalid,Review article_Metformin_DEDP,,,No error,,,,China,,Metformin ,DEDP,,,,,,
1567,,,In-Vitro and In-Silico Investigation for the Spent-Coffee Bioactive Phenolics as a Promising Aflatoxins Production Inhibitor,Toxins (Basel). 2023 Mar 16;15(3):225. doi: 10.3390/toxins15030225.,36977116,10.3390/toxins15030225,,,Abstract,Rejected,No safety information_In vitro study/In silico study,,,No Error,,,,Egypt,,,,,,,,,
1568,,,"Paracetamol (acetaminophen) or non-steroidal anti-inflammatory drugs, alone or combined, for pain relief in acute otitis media in children",Cochrane Database Syst Rev. 2023 Aug 18;8(8):CD011534. doi: 10.1002/14651858.CD011534.pub3.,37594020,10.1002/14651858.CD011534.pub3,,,Full text,Invalid,"Review article_Ibuprofen,paracetamol_Adverse events Nos",,,No error,,,,Netherlands,,"Ibuprofen,paracetamol",Adverse events Nos,,,,,,
1569,,,Meta-Analysis of the Efficacy of Low Molecular Weight Heparin and Aspirin in the Treatment of Thrombosis During Pregnancy and Effects on Coagulation Function,Discov Med. 2023 Apr 1;35(175):104-115. doi: 10.24976/Discov.Med.202335175.11.,37105921,10.24976/Discov.Med.202335175.11,,,Abstract ,Invalid,No MA in COI-Aspirin_DEDP_Meta-analysis,,,No Error,,,,China,,Aspirin,DEDP,,,,,,
1570,,,"A broad assessment of Eremurus spectabilis M. Bieb: chemical and elemental composition, total phenolic and antimicrobial activity analysis, and quantum chemical calculations of radical scavenging potential",Int J Environ Health Res. 2023 May 18:1-16. doi: 10.1080/09603123.2023.2214100. Online ahead of print.,37199334,10.1080/09603123.2023.2214100,,,Abstract,Rejected,No safety information,,,No error,,,,Turkey,,,,,,,,,
1571,,,Continuous vs fractionated violet LED light protocols for dental bleaching: evaluations of color change and temperature of the dental pulp and buccal surface,Photodiagnosis Photodyn Ther. 2023 May 24:103631. doi: 10.1016/j.pdpdt.2023.103631. Online ahead of print.,37236518,10.1016/j.pdpdt.2023.103631,,,Abstract,Rejected,No safety information,,,No error,,,,Brazil,,,,,,,,,
1572,,,Sulphonylureas versus metformin and the risk of ventricular arrhythmias among people with type 2 diabetes: A population-based cohort study,Diabetes Obes Metab. 2023 Jun;25(6):1523-1533. doi: 10.1111/dom.15000. Epub 2023 Feb 16.,36722703,10.1111/dom.15000,,,Full text,Valid,Valid case_1 Cluster _Metformin_Ventricular arrhythmia,,,No error,,,Serious,United Kingdom,Metformin,,Ventricular arrhythmia,1 cluster,,,,,
1573,,,Real-World Attainment of Low-Density Lipoprotein Cholesterol Goals in Patients at High Risk of Cardiovascular Disease Treated with High-Intensity Statins: The TERESA Study,J Clin Med. 2023 Apr 28;12(9):3187. doi: 10.3390/jcm12093187.,37176627,10.3390/jcm12093187,,,Full text,Invalid,No MA in COI_Atorvastatin/rosuvastatin_Cardiovascular risk(Refer table 2),,,No error,,,,Spain,,Atorvastatin/rosuvastatin,Cardiovascular risk(Refer table 2),,,,,,
1574,,,Recent advances in nanoscale metal-organic frameworks for cancer chemodynamic therapy,Nanoscale. 2023 May 25;15(20):8948-8971. doi: 10.1039/d3nr00867c.,37129051,10.1039/d3nr00867c,,,Abstract ,Rejected,No safety information_Review article,,,No error ,,,,China,,,,,,,,,
1575,,,Lipase-catalysed changes in essential oils revealed by comprehensive two-dimensional gas chromatography,Anal Bioanal Chem. 2023 May 15:1-11. doi: 10.1007/s00216-023-04729-0. Online ahead of print.,37184634,10.1007/s00216-023-04729-0,,,Abstract ,Rejected,No safety information_Invitro study,,,No error,,,,Australia,,,,,,,,,
1576,,,Maintenance dienogest therapy following adjuvant gonadotropin-releasing hormone agonist treatment after uterus-sparing surgery in adenomyosis: A retrospective cohort study,Int J Gynaecol Obstet. 2023 Jun;161(3):751-759. doi: 10.1002/ijgo.14635. Epub 2023 Jan 9.,36527263,10.1002/ijgo.14635,,,Abstract,Invalid,No MA in COI_Digonest_Adverse events NOS(Supplementary table),,,No error,,,,Taiwan,,Digonest,Adverse events NOS,,,,,,
1577,,,Resistant hypertension: cardiorenal protection with mineralocorticoid receptor blockade,Eur Heart J. 2023 May 24:ehad299. doi: 10.1093/eurheartj/ehad299. Online ahead of print.,37224444,10.1093/eurheartj/ehad299,,,Abstract ,Rejected,No safety information ,,,No error ,,,,United states,,,,,,,,,
1578,,,"How does l-theanine treatment affect the levels of serum and hippocampal BDNF, insulin and adipocytokines in diabetic rats?",Biochem Biophys Res Commun. 2023 May 14;667:95-103. doi: 10.1016/j.bbrc.2023.05.039. Online ahead of print.,37210871,10.1016/j.bbrc.2023.05.039,,,Abstract,Rejected,Animal study_No safety information,,,No error,,,,Turkey,,,,,,,,,
1579,,,Residual or re-emergent impaired insight into delusions following remission is unrelated to later relapse during a randomized clinical trial of continuation pharmacotherapy for psychotic depression - The STOP-PD II Study,J Affect Disord. 2023 Mar 15;325:29-34. doi: 10.1016/j.jad.2022.12.078. Epub 2022 Dec 30.,36592671,10.1016/j.jad.2022.12.078,,,Abstract,Invalid,"No MA in COI_olanaepine+sertaline_broken hip,knee sepsis,pneumonia,constipation,nausea,vomiting,sedation,weight gain,akathisia.",,,No error ,,,,Canada,,"Sertaline,olanazepine","broken hip,knee sepsis,pneumonia,constipation,nausea,vomiting,sedation,weight gain,akathisia.",,,,,,
1580,,,Xeroderma pigmentosum: case report,Rev Paul Pediatr. 2023 Mar 13;41:e2021390. doi: 10.1590/1984-0462/2023/41/2021390. eCollection 2023.,36921168,10.1590/1984-0462/2023/41/2021390,,,Full text,Rejected,No safety information,,,No error ,,,,Brazil,,,,,,,,,
1581,,,Non-lesional treatments for tremor in Parkinson's disease: A systematic review and meta-analysis,Eur J Neurol. 2023 Aug;30(8):2544-2556. doi: 10.1111/ene.15823. Epub 2023 May 25.,37154268,10.1111/ene.15823,,,Full text,Invalid,No MA in COI_Rasagline_Adverse events (NOS),,,"Article classification was updated from rejected to invalid, IR comment was updated from No safety information to No MA in COI_Rasagline_Adverse events (NOS), Invald drug and suspected event were updated",,,,Germany,,Rasagline,Adverse events (NOS),,,,,,
1582,,,Phytoremediation of diclofenac using the Green Liver System: Macrophyte screening to system optimization,N Biotechnol. 2023 May 20;76:82-89. doi: 10.1016/j.nbt.2023.05.004. Online ahead of print.,37217117,10.1016/j.nbt.2023.05.004,,,Full Text,Rejected,No safety information,,,No error,,,,Finland,,,,,,,,,
1583,,,Carbamazepine-Triggered Hemophagocytic Lymphohistiocytosis: A Case Report and Review of Literature,Pediatr Neurol. 2023 Mar 24;144:69-71. doi: 10.1016/j.pediatrneurol.2023.03.014. Online ahead of print.,37163798,10.1016/j.pediatrneurol.2023.03.014,,,Abstract,Invalid,No MA in COI_Carbamazepine_Hemophagocytic lymphohistiocytosis,,,No error,,,,India,,Carbamazepine,Hemophagocytic lymphohistiocytosis,,,,,,
1584,,,"Chinese chestnut shell polyphenol extract regulates the JAK2/STAT3 pathway to alleviate high-fat diet-induced, leptin-resistant obesity in mice",Food Funct. 2023 May 22;14(10):4807-4823. doi: 10.1039/d3fo00604b.,37128963,10.1039/d3fo00604b,,,Abstract ,Rejected,No safety information_Animal study,,,No Error,,,,China,,,,,,,,,
1585,,,Rosuvastatin-induced rhabdomyolysis: case report and call for proactive multifactorial risk assessment and preventive management of statin therapy in high-risk patients,Rosuvastatin-induced rhabdomyolysis: case report and call for proactive multifactorial risk assessment and preventive management of statin therapy in high-risk patients,37451842,10.1136/ejhpharm-2023-003765,,,Full Text,Invalid,No MA in COI_Rosuvastatin_Rhambomyolysis,,,No error,,,,Switzerland,,Rosuvastatin,Rhambomyolysis,,,,,,
1586,,,Tamoxifen use and risk of endometrial cancer in breast cancer patients: A systematic review and dose-response meta-analysis,Cancer Rep (Hoboken). 2023 Apr;6(4):e1806. doi: 10.1002/cnr2.1806. Epub 2023 Mar 14.,36916539,10.1002/cnr2.1806,,,full text,Invalid,Meta analysis/Systemic review article_Incidence of endometrial cancer from primary references _Tamoxifen,,,No Error ,,,,Iran,,Tamoxifen,Incidence of endometrial cancer,,,,,,
1587,,,Is apical lung fibrosis really associated with familial Mediterranean fever?,Clin Rheumatol. 2023 May;42(5):1495. doi: 10.1007/s10067-023-06561-4. Epub 2023 Mar 14.,36917308,10.1007/s10067-023-06561-4,,,Full text,Rejected,No safety informaton,,,No Error,,,,Germany,,,,,,,,,
1588,,,Kinin B(1) and B(2) receptors mediate cancer pain associated with both the tumor and oncology therapy using aromatase inhibitors,Sci Rep. 2023 Mar 17;13(1):4418. doi: 10.1038/s41598-023-31535-6.,36932156,10.1038/s41598-023-31535-6,,,Abstract,Rejected,Animal/Invitro study_No safety information,,,No Error ,,,,Brazil,,,,,,,,,
1589,,,Granulomatosis with polyangiitis presenting as a solitary renal mass: a case report,BMC Nephrol. 2023 Jul 28;24(1):223. doi: 10.1186/s12882-023-03276-1.,37507681,10.1186/s12882-023-03276-1,,,Full text,Invalid,No MA in COI_Prednisolone_oliguria,,,No error,,,,Japan,,Prednisolone,oliguria,,,,,,
1590,,,Comparative efficacy of tegoprazan versus esomeprazole/sodium bicarbonate for the treatment of Helicobacter pylori infection,Clin Transl Gastroenterol. 2023 Aug 10. doi: 10.14309/ctg.0000000000000632. Online ahead of print.,37561041,10.14309/ctg.0000000000000632,,,Full text,Invalid,"No MA in COI_Esomeprazole_Abdominal discomfort,diarrhea",,,No error,,,,South Korea,,Esomeprazole,"Abdominal discomfort,diarrhea",,,,,,
1591,,,"Effects of roasting on the chemical compositions, color, aroma, microstructure, and the kinetics of changes in coffee pulp",J Food Sci. 2023 Apr;88(4):1430-1444. doi: 10.1111/1750-3841.16516. Epub 2023 Mar 15.,36924029,10.1111/1750-3841.16516,,,Abstract,Rejected,No safety information,,,No Error,,,,China,,,,,,,,,
1592,,,"Advances in the Management of Heart Failure with Reduced Ejection Fraction; The Role of SGLT2is, ARNI, Myotropes, Vericiguat, and Anti-inflammatory Agents: A Mini-review",Curr Pharm Des. 2023 Mar 16. doi: 10.2174/1381612829666230316142450. Online ahead of print.,36927423,10.2174/1381612829666230316142450,,,Abstract,Rejected,No safety information_Review article,,,No Error,,,,Greece,,,,,,,,,
1593,,,Real-world use of apixaban for the treatment and prevention of thrombosis in children with cardiac disease,J Thromb Haemost. 2023 Jun;21(6):1601-1609. doi: 10.1016/j.jtha.2023.03.005. Epub 2023 Mar 14.,36921920,10.1016/j.jtha.2023.03.005,,,Abstract,Rejected,No safety Information,,,No Error,,,,United States,,,,,,,,,
1594,,,"Impact of Postharvest Putrescine Treatments on Phenolic Compounds, Antioxidant Capacity, Organic Acid Contents and Some Quality Characteristics of Fresh Fig Fruits during Cold Storage",Plants (Basel). 2023 Mar 13;12(6):1291. doi: 10.3390/plants12061291.,36986981,10.3390/plants12061291,,,Abstract ,Rejected,Environmental study_no safety information,,,No Error,,,,Turkey,,,,,,,,,
1595,,,Mode-dependent H atom tunneling dynamics of the S(1) phenol is resolved by the simple topographic view of the potential energy surfaces along the conical intersection seam,J Chem Phys. 2023 Mar 14;158(10):104301. doi: 10.1063/5.0143655.,36922134,10.1063/5.0143655,,,Abstract,Rejected,No safety information,,,No Error,,,,South Korea,,,,,,,,,
1596,,,Health characteristics and aspirin use in participants at the baseline of the aspirin in reducing events in the elderly - eXTension (ASPREE-XT) observational study,Contemp Clin Trials. 2023 May 15;130:107231. doi: 10.1016/j.cct.2023.107231. Online ahead of print.,37196887,10.1016/j.cct.2023.107231,,,Abstract,Rejected,No safety information,,,No Error,,,,United States,,,,,,,,,
1597,,,First report of melting out on creeping bentgrass caused by Bipolaris sorokiniana in China,Plant Dis. 2023 May 15. doi: 10.1094/PDIS-02-23-0260-PDN. Online ahead of print.,37189047,10.1094/PDIS-02-23-0260-PDN,,,Abstract,Rejected,No safety information_Environmental study,,,No Error,,,,China,,,,,,,,,
1598,,,Antimicrobial activity of Limosilactobacillus fermentum strains isolated from the human oral cavity against Streptococcus mutans,Sci Rep. 2023 May 17;13(1):7969. doi: 10.1038/s41598-023-35168-7.,37198248,10.1038/s41598-023-35168-7,,,Full Text,Rejected,No safety information,,,No Error,,,,South Korea,,,,,,,,,
1599,,,"Comparison of Cromolyn Sodium, Montelukast, and Zafirlukast Prophylaxis for Capsular Contracture",Plast Reconstr Surg. 2023 May 24. doi: 10.1097/PRS.0000000000010540. Online ahead of print.,37224195,10.1097/PRS.0000000000010540,,,Abstract,Rejected,No safety information_Animal Study,,,Article type has been updated from abstract to full text;Initial review comment has been updated from No safety information to No safety information_Animal Study.,,,,United States,,,,,,,,,
1600,,,Natamycin versus natamycin combined with voriconazole in the treatment of fungal keratitis,Pak J Med Sci. 2023 May-Jun;39(3):775-779. doi: 10.12669/pjms.39.3.6908.,37250561,10.12669/pjms.39.3.6908,,,Full Text,Invalid,"No MA in COI_Voriconazole_Irritating pain, Foreign body sensation, Photophobia, Conjunctival congestion.",,,No error,,,,China,,Voriconazole,"Irritating pain, Foreign body sensation, Photophobia, Conjunctival congestion.",,,,,,
1601,,,Challenges of Anticoagulant Therapy in Atrial Fibrillation-Focus on Gastrointestinal Bleeding,Int J Mol Sci. 2023 Apr 7;24(8):6879. doi: 10.3390/ijms24086879.,37108042,10.3390/ijms24086879,,,Full Text,Invalid,"No MA in COI_Warfarin_Gastrointestinal bleeding, thromboembolic events",,,No Error,,,,Romania,,warfarin,"Gastrointestinal bleeding, Thromboembolic events",,,,,,
1602,,,Multicolor biosensor for hyaluronidase based on target-responsive hydrogel and etching of gold nanorods by H(2)O(2),Talanta. 2023 May 15;257:124367. doi: 10.1016/j.talanta.2023.124367. Epub 2023 Feb 16.,36841016,10.1016/j.talanta.2023.124367,,,Abstract,Rejected,No safety information,,,No Error,,,,China,,,,,,,,,
1603,,,The epilepsy phenotype of ST3GAL3-related developmental and epileptic encephalopathy,Epilepsia Open. 2023 Jun;8(2):623-632. doi: 10.1002/epi4.12747. Epub 2023 Apr 24.,37067065,10.1002/epi4.12747,,,Full text,Invalid,Review_Sodium valproate_Drug ineffective,,,No Error,,,,Canada,,Sodium valproate,Drug ineffective,,,,,,
1604,,,"Treatment Satisfaction, Efficacy, and Tolerability of Low-Dose Diclofenac Epolamine Soft Capsules in Acute, Mild, or Moderate Musculoskeletal Pain: A Prospective Open-Label, Single-Arm Interventional Study",Pain Ther. 2023 Jun 14:1-15. doi: 10.1007/s40122-023-00531-z. Online ahead of print.,37314686,10.1007/s40122-023-00531-z,,,Full text,Invalid,No MA in COI_Diclofenac_nausea of mild intensity,,,No error ,,,,Italy,,Diclofenac,Nausea of mild intensity,,,,,,
1605,,,Aspirin for primary prevention of cardiovascular disease: What do the current USPSTF guidelines say?,Cleve Clin J Med. 2023 May 1;90(5):287-291. doi: 10.3949/ccjm.90a.22087.,37127334,10.3949/ccjm.90a.22087,,,Full Text,Invalid,No MA in COI_ Aspirin_Increased risk for a major bleeding event,,,No error,,,,United states,,Aspirin,Increased risk for a major bleeding event,,,,,,
1606,,,Chemical prospection and antioxidant activity of Humiria balsamifera (Aubl.) A. St. Hil. AND Hymenaea courbaril L,Nat Prod Res. 2023 Mar 16:1-5. doi: 10.1080/14786419.2023.2189708. Online ahead of print.,36924455,10.1080/14786419.2023.2189708,,,Abstract,Rejected,No safety information_plant/invitro study,,,No error,,,,Brazil,,,,,,,,,
1607,,,Nrf2 and NF-?B interplay in tamoxifen-induced hepatic toxicity: A promising therapeutic approach of sildenafil and low-dose ? radiation,Environ Toxicol. 2023 May;38(5):990-996. doi: 10.1002/tox.23742. Epub 2023 Jan 30.,36715126,10.1002/tox.23742,,,Abstract,Invalid,Animal study_Tamoxifen_hepatotoxicity,,,No error,,,,Egypt,,Tamoxifen,Hepatotoxicity,,,,,,
1608,,,Posaconazole and midostaurin in patients with FLT3-mutated acute myeloid leukemia: Pharmacokinetic interactions and clinical facts in a real life study,Clin Transl Sci. 2023 Jul 28. doi: 10.1111/cts.13595. Online ahead of print.,37515369,10.1111/cts.13595,,,Full Text,Invalid,No MA in COI_Posaconazole_Adverse eventsNOS(ref-TABLE 3),,,No error,,,,Italy,,Posaconazole,Adverse eventsNOS,,,,,,
1609,,,The dopamine receptor antagonist haloperidol disrupts behavioral responses of sea urchins and sea stars,J Exp Biol. 2023 Aug 14:jeb.245752. doi: 10.1242/jeb.245752. Online ahead of print.,37578035,10.1242/jeb.245752,,,Abstract,Invalid,Animal study_Haloperidol_disrupts behavioral responses,,,No error,,,,United states,,Haloperidol,disrupts behavioral responses,,,,,,
1610,,,Corticosteroid-refractory autoimmune hepatitis after COVID-19 vaccination: a case report and literature review,Clin J Gastroenterol. 2023 Apr 7:1-5. doi: 10.1007/s12328-023-01794-x. Online ahead of print.,37029249,10.1007/s12328-023-01794-x,,,Full Text,Invalid,No MA in COI_Prednisolone_corticosteroid refractory autoimmune hepatitis,,,No Error,,,,Japan,,Prednisolone,corticosteroid refractory autoimmune hepatitis,,,,,,
1611,,,"Efficacy, Safety, and Role of Antiplatelet Drugs in the Management of Acute Coronary Syndrome: A Comprehensive Review of Literature",Cureus. 2023 Mar 18;15(3):e36335. doi: 10.7759/cureus.36335. eCollection 2023 Mar.,37077602,10.7759/cureus.36335,,,Full text,Rejected,No safety information_Review article,,,No Error,,,,Pakistan,,,,,,,,,
1612,,,Safety and efficacy of colchicine for the prevention of recurrent atrial fibrillation post-catheter ablation: Colchicine for Recurrent AF Post-PVI,Eur J Intern Med. 2023 May;111:143-145. doi: 10.1016/j.ejim.2023.02.013. Epub 2023 Feb 15.,36803909,10.1016/j.ejim.2023.02.013,,,Full Text,Invalid,No MA in COI_Colchicine_Adverse event NOS,,,Article type updated from Abstract to Full text; Article classification updated from Rejected to Invalid; Invalid drugs updated from NA to Colchicine; Suspected events updated from NA to Adverse event NOS; Comment updated from No safety information to No MA in COI_Colchicine_Adverse event NOS,,,,United states,,Colchicine,Adverse event NOS,,,,,,
1613,,,A Case Report on Serotonin Syndrome in a Patient With Parkinson's Disease: Diagnostic and Management Challenges,Cureus. 2023 Mar 28;15(3):e36780. doi: 10.7759/cureus.36780. eCollection 2023 Mar.,37123809,10.7759/cureus.36780,,,Full text,Invalid,No MA in COI_Rasagiline_Drug interaction_Serotonin syndrome,,,No error,,,,Serbia,,Rasagiline,"Drug interaction, serotonin syndrome",,,,,,
1614,,,A case report of carbamazepine-induced oropharyngeal dysphagia in a patient with primary progressive multiple sclerosis,Clin Case Rep. 2023 May 3;11(5):e7185. doi: 10.1002/ccr3.7185. eCollection 2023 May.,37151936,10.1002/ccr3.7185,,,Full Text,Invalid,No MA in COI_Carbamazepine_Oropharyngeal dysphagia,,,No error,,,,United States,,Carbamazepine,Oropharyngeal dysphagia,,,,,,
1615,,,A Rare Case of New-Onset Crohn's Disease in a Patient With Chronic Palmoplantar Pustulosis,J Clin Med Res. 2023 Apr;15(4):243-249. doi: 10.14740/jocmr4896. Epub 2023 Apr 28.,37187712,10.14740/jocmr4896,,,Full Text,Invalid,No  MA in COI_prednisolone_clinical remission was not achieved(lack of efficacy),,,No Error,,,,Japan,,prednisolone,clinical remission was not achieved(lack of efficacy),,,,,,
1616,,,Heart Failure With Preserved Ejection Fraction: A Review,JAMA. 2023 Mar 14;329(10):827-838. doi: 10.1001/jama.2023.2020.,36917048,10.1001/jama.2023.2020,,,Abstract,Rejected,Systemic review article_No safety information,,,No Error,,,,United States,,,,,,,,,
1617,,,"Changing from preserved, to preservative-free cyclosporine 0.1% enhanced triple glaucoma therapy: impact on ocular surface disease-a randomized controlled trial",Eye (Lond). 2023 May 23. doi: 10.1038/s41433-023-02578-w. Online ahead of print.,37221362,10.1038/s41433-023-02578-w,,,Abstract,Rejected,No safety information,,,No error ,,,,Greece,,,,,,,,,
1618,,,Synthesis and biological evaluation of new antiseizure compounds derived from valproic acid,Future Med Chem. 2023 May 25. doi: 10.4155/fmc-2022-0222. Online ahead of print.,37227752,10.4155/fmc-2022-0222,,,Abstract ,Rejected,Animal study_No safety information,,,No error,,,,Argentina,,,,,,,,,
1619,,,A pilot randomized control trial of topical capsaicin as adjunctive therapy for nausea and vomiting of pregnancy,Am J Obstet Gynecol MFM. 2023 Jun 2:100997. doi: 10.1016/j.ajogmf.2023.100997. Online ahead of print.,37271593,10.1016/j.ajogmf.2023.100997,,,Abstract,Invalid,No MA in COI_Metoclopramide_DEDP,,,No error,,,,United States,,Metolcopramide,DEDP,,,,,,
1620,,,Is anti-seizure medication the culprit of SUDEP?,Neurol Sci. 2023 May 30. doi: 10.1007/s10072-023-06871-0. Online ahead of print.,37248425,10.1007/s10072-023-06871-0,,,Abstract,Invalid,"No MA in COI_Carbamazepine _negative effects on  Heart rate variability, levetiracetam_increased HRV",,,No error ,,,,Thailand,,"Carbamazepine , levetiracetam","negative effectson  Heart rate variability,increased HRV",,,,,,
1621,,,Chitosan based smart polymer composites: Fabrication and pH-Responsive behavior for bio-medical applications,Environ Res. 2023 Mar 15;221:115286. doi: 10.1016/j.envres.2023.115286. Epub 2023 Jan 13.,36642127,10.1016/j.envres.2023.115286,,,Abstract,Rejected,No safety information,,,No Error,,,,China,,,,,,,,,
1622,,,Sertraline treatment influences [(18)F]FE-PE2I PET imaging for Parkinsonism,EJNMMI Res. 2023 May 23;13(1):46. doi: 10.1186/s13550-023-01000-6.,37221321,10.1186/s13550-023-01000-6,,,Full Text,Rejected,No safety information,,,No error,,,,Denmark,,,,,,,,,
1623,,,A pharmacovigilance study of the association between antipsychotic drugs and venous thromboembolism based on Food and Drug Administration adverse event reporting system data,Expert Opin Drug Saf. 2023 Aug 24. doi: 10.1080/14740338.2023.2251881. Online ahead of print.,37615268,10.1080/14740338.2023.2251881,,,Full Text,Invalid,"No MA in COI_ haloperidol, olanzapine, quetiapine, Aripiprazole, Amisulpride_VTE events",,,No error,,,,China,,"haloperidol, olanzapine, quetiapine, Aripiprazole, Amisulpride",VTE events,,,,,,
1624,,,Clinical Data Repositories: Primary Sources of Drug-to-Drug Interaction Detection and Risk Assessment,AMIA Annu Symp Proc. 2023 Apr 29;2022:625-633. eCollection 2022.,37128384,,,,Full Text,Invalid,"No MA in COI_Atorvastatin,Rosuvastatin,Simvastatin,Pravastatin_Adverse Drug events, Myopathy,Drug-induced Liver injury,Rhambomyolysis.",,,No error,,,,United States,,"Atorvastatin,Rosuvastatin,Simvastatin,Pravastatin","Adverse Drug events, Myopathy,Drug-induced Liver injury,Rhambomyolysis",,,,,,
1625,,,Metformin Impairs Intestinal Fructose Metabolism,bioRxiv. 2023 May 15:2023.04.17.537251. doi: 10.1101/2023.04.17.537251. Preprint.,37131695,10.1101/2023.04.17.537251,,,Abstract,Rejected,Animal/In vivo study_No safety information,,,No Error,,,,United States,,,,,,,,,
1626,,,Effects of mannoprotein on the stability and in vitro digestion of cyanidin-3-glucoside,Food Chem. 2023 Mar 15;404(Pt A):134602. doi: 10.1016/j.foodchem.2022.134602. Epub 2022 Oct 17.,36444020,10.1016/j.foodchem.2022.134602,,,Abstract,Rejected,In-vitro_No safety information,,,No error ,,,,China,,,,,,,,,
1627,,,Concurrent oral delivery of non-oncology drugs through solid self-emulsifying system for repurposing in hepatocellular carcinoma,Drug Dev Ind Pharm. 2023 May 22:1-21. doi: 10.1080/03639045.2023.2216785. Online ahead of print.,37216496,10.1080/03639045.2023.2216785,,,Abstract,Rejected,"No safety information_In Vitro,In vivo study",,,No error,,,,India,,,,,,,,,
1628,,,Development and Optimization of Sildenafil Orodispersible Mini-Tablets (ODMTs) for Treatment of Pediatric Pulmonary Hypertension Using Response Surface Methodology,Pharmaceutics. 2023 Mar 12;15(3):923. doi: 10.3390/pharmaceutics15030923.,36986784,10.3390/pharmaceutics15030923,,,full text,Rejected,No safety information,,,No Error ,,,,Saudi Arabia,,,,,,,,,
1629,,,"Real-world pharmacogenetics of statin intolerance: effects of SLCO1B1, ABCG2, and CYP2C9 variants",Pharmacogenet Genomics. 2023 Jul 24. doi: 10.1097/FPC.0000000000000504. Online ahead of print.,37490620,10.1097/FPC.0000000000000504,,,Abstract,Invalid,"No MA in COI_simvastatin,pravastatin_Drug  intolerance",,,No error,,,,Finland,,"Simvastatin,pravastatin",Drug  intolerance,,,,,,
